Title;Link;Author;Publishing Year
Pondré los colores;https://www.penguinlibros.com/es/libros-de-poesia-juvenil/285876-libro-pondre-los-colores-9788418798559;Imane Raissali (@Miss Raissa);2022
Lola Vendetta y los hombres;https://www.penguinlibros.com/es/los-mejores-comic/30645-libro-lola-vendetta-y-los-hombres-9788426406033;Raquel Riba Rossy;2019
Feminismo para principiantes (Cómic Book);https://www.penguinlibros.com/es/los-mejores-comic/11002-libro-feminismo-para-principiantes-comic-book-9788466662734;Nuria Varela;2018
Girlsplaining;https://www.penguinlibros.com/es/novela-grafica/334642-libro-girlsplaining-9788494425707;Katja Klengel;2022
Ser mujer negra en España;https://www.penguinlibros.com/es/economia-politica-y-actualidad/36499-libro-ser-mujer-negra-en-espana-9788417001650;Desirée Bela-Lobedde;2018
Historia de las mujeres (edición estuche);https://www.penguinlibros.com/es/libros-de-historia/39110-libro-historia-de-las-mujeres-edicion-estuche-9788430622320;Georges Duby;2018
No me cuentes cuentos;https://www.penguinlibros.com/es/libros-ninos-9-anos/29860-libro-no-me-cuentes-cuentos-9788417922290;Varias autoras;2019
Estuche Malas mujeres y El placer;https://www.penguinlibros.com/es/novela-grafica/310334-libro-estuche-malas-mujeres-y-el-placer-9788426424280;María Hesse;2022
¿Qué me está pasando?;https://www.penguinlibros.com/es/libros-ninos-9-anos/291449-libro-que-me-esta-pasando-9788418688553;Anita Naik;2022
Una habitación propia (edición íntegra e...;https://www.penguinlibros.com/es/biografias-e-historias-reales/315691-libro-una-habitacion-propia-edicion-integra-e-ilustrada-coleccion-alfaguara-clasicos-9788419507334;Virginia Woolf;2023
Princesas que cambiaron el cuento;https://www.penguinlibros.com/es/libros-ninos-7-anos/9806-libro-princesas-que-cambiaron-el-cuento-9788448851064;Virginia Mosquera;2018
Los cuentos que nunca nos contaron;https://www.penguinlibros.com/es/libros-ninos-9-anos/32960-libro-los-cuentos-que-nunca-nos-contaron-9788416588831;Varios autores;2018
Voy a ser asertiva;https://www.penguinlibros.com/es/libro-de-negocio/11973-libro-voy-a-ser-asertiva-9788416883097;Olga Castanyer Mayer-Spiess;2017
La vuelta al mundo en 15 mujeres;https://www.penguinlibros.com/es/economia-politica-y-actualidad/276323-libro-la-vuelta-al-mundo-en-15-mujeres-9788403522534;Verónica Zumalacárregui;2022
Soy la madre naturaleza;https://www.penguinlibros.com/es/libros-autoayuda/313475-libro-soy-la-madre-naturaleza-9788425363412;María José Flaqué;2023
Mujeres en pie de guerra;https://www.penguinlibros.com/es/libros-de-historia/10919-libro-mujeres-en-pie-de-guerra-9788466661331;Susana Koska;2017
Herstory: una historia ilustrada de las...;https://www.penguinlibros.com/es/economia-politica-y-actualidad/30593-libro-herstory-una-historia-ilustrada-de-las-mujeres-9788426404862;Cristina Daura;2018
Caliente;https://www.penguinlibros.com/es/literatura-contemporanea/30711-libro-caliente-9788426408358;Luna Miguel;2021
Las cosas del querer unos años después;https://www.penguinlibros.com/es/novela-grafica/30731-libro-las-cosas-del-querer-unos-anos-despues-9788426409799;Flavita Banana;2021
Manual de la Perfecta Cabrona;https://www.penguinlibros.com/es/libros-autoayuda/33537-libro-manual-de-la-perfecta-cabrona-9788466332460;Elizabeth Hilts;2016
Vindicación de los derechos de la mujer;https://www.penguinlibros.com/es/economia-politica-y-actualidad/36778-libro-vindicacion-de-los-derechos-de-la-mujer-9788491054634;Mary Wollstonecraft;2020
¡Ay, campaneras!;https://www.penguinlibros.com/es/libros-de-historia/273985-libro-ay-campaneras-9788418051449;Lidia García García;2022
Mujer Power;https://www.penguinlibros.com/es/autoconocimiento-y-salud/330270-libro-mujer-power-9788418050855;Belén Soto;2023
Somos las nietas de las brujas que no...;https://www.penguinlibros.com/es/comic-juvenil/10121-libro-somos-las-nietas-de-las-brujas-que-no-pudisteis-quemar-9788402421678;Ame Soler (TresVoltesRebel);2019
Feminismo 4.0. La cuarta ola;https://www.penguinlibros.com/es/economia-politica-y-actualidad/11058-libro-feminismo-40-la-cuarta-ola-9788466664431;Nuria Varela;2019
Las chicas van donde quieren;https://www.penguinlibros.com/es/biografias-e-historias-reales/30303-libro-las-chicas-van-donde-quieren-9788417460648;Irene Cívico;2019
No madres;https://www.penguinlibros.com/es/literatura-contemporanea/31127-libro-no-madres-9788401019289;María Fernández-Miranda;2017
El futuro es femenino;https://www.penguinlibros.com/es/autoconocimiento-y-salud/32949-libro-el-futuro-es-femenino-9788416588602;Varios autores;2018
La mujer eunuco;https://www.penguinlibros.com/es/economia-politica-y-actualidad/34394-libro-la-mujer-eunuco-9788466348782;Germaine Greer;2019
Todo eso que no sé cómo explicarle a mi madre;https://www.penguinlibros.com/es/economia-politica-y-actualidad/36542-libro-todo-eso-que-no-se-como-explicarle-a-mi-madre-9788417809836;Sandra Bravo;2021
Historia de la vida privada (edición...;https://www.penguinlibros.com/es/libros-de-historia/39117-libro-historia-de-la-vida-privada-edicion-estuche-con-los-cinco-volumenes-9788430699483;Georges Duby;2017
El mundo es tuyo;https://www.penguinlibros.com/es/activismo/266176-libro-el-mundo-es-tuyo-9788427215405;Claire Shipman;2018
Una casa propia;https://www.penguinlibros.com/es/libro-de-biografias/272579-libro-una-casa-propia-9788439739494;Deborah Levy;2022
Meditaciones para mujeres que aman demasiado;https://www.penguinlibros.com/es/libros-autoayuda/305920-libro-meditaciones-para-mujeres-que-aman-demasiado-9788490707951;Robin Norwood;2019
